x,y,mean_R,mean_G,mean_B,mean_T,variance_mean_R,variance_mean_G,variance_mean_B,variance_mean_T,mean_RGB_average,variance_mean_RGB_average,fine_RGB_average,coarse_RGB_average,fine_T,coarse_T
2,3,0.014999999999999999,0.021999999999999999,0.035000000000000003,1,0,0,0,0,0.024000000000000004,0,0.024000000000000004,0.024000000000000004,1,1
3,3,0.014999999999999999,0.021999999999999999,0.035000000000000003,1,0,0,0,0,0.024000000000000004,0,0.024000000000000004,0.024000000000000004,1,1
4,3,0.014999999999999999,0.021999999999999999,0.035000000000000003,1,0,0,0,0,0.024000000000000004,0,0.024000000000000004,0.024000000000000004,1,1
5,3,0.014999999999999999,0.021999999999999999,0.035000000000000003,1,0,0,0,0,0.024000000000000004,0,0.024000000000000004,0.024000000000000004,1,1
6,3,0.036536294575330613,0.042821945513363137,0.054495297255423243,0.89795013400462986,2.99946226743733e-07,3.0010951992953073e-07,3.0068535251794731e-07,1.0483608261223967e-06,0.044617845781372345,3.0017504562034269e-07,0.044291779373936239,0.044289804517450605,0.89697238148474834,0.89696491519467325
7,3,0.13995549365420862,0.14319646097002145,0.14921540027081467,0.46299533083030675,1.4936261377306873e-06,1.495558868999944e-06,1.500952890495483e-06,6.941013169471306e-06,0.1441224516316815,1.4962360161710708e-06,0.14468063458590461,0.14467705944173917,0.45937230649348543,0.45937727770966408
8,3,0.21124101756512595,0.21440515110028804,0.22028139909416042,0.45201907645173556,1.9867284004206443e-06,1.9889923506718893e-06,1.9950257943522079e-06,7.0344793934344884e-06,0.21530918925319126,1.9897658142299003e-06,0.21509441841246005,0.21509855432348435,0.45516980263139212,0.45515893511740879
9,3,0.20689998221057315,0.21117309848777885,0.21910888585973193,0.6104451824579219,2.1068395252672588e-06,2.1082609070781129e-06,2.1125543312237234e-06,6.3604425703521363e-06,0.21239398885269495,2.1087815041331979e-06,0.21160537008115246,0.21160814706019593,0.61065630361815371,0.61065185336008843
10,3,0.014999999999999999,0.021999999999999999,0.035000000000000003,1,0,0,0,0,0.024000000000000004,0,0.024000000000000004,0.024000000000000004,1,1
11,3,0.014999999999999999,0.021999999999999999,0.035000000000000003,1,0,0,0,0,0.024000000000000004,0,0.024000000000000004,0.024000000000000004,1,1
12,3,0.014999999999999999,0.021999999999999999,0.035000000000000003,1,0,0,0,0,0.024000000000000004,0,0.024000000000000004,0.024000000000000004,1,1
13,3,0.014999999999999999,0.021999999999999999,0.035000000000000003,1,0,0,0,0,0.024000000000000004,0,0.024000000000000004,0.024000000000000004,1,1
14,3,0.014999999999999999,0.021999999999999999,0.035000000000000003,1,0,0,0,0,0.024000000000000004,0,0.024000000000000004,0.024000000000000004,1,1
15,3,0.014999999999999999,0.021999999999999999,0.035000000000000003,1,0,0,0,0,0.024000000000000004,0,0.024000000000000004,0.024000000000000004,1,1
0,4,0.014999999999999999,0.021999999999999999,0.035000000000000003,1,0,0,0,0,0.024000000000000004,0,0.024000000000000004,0.024000000000000004,1,1
1,4,0.014999999999999999,0.021999999999999999,0.035000000000000003,1,0,0,0,0,0.024000000000000004,0,0.024000000000000004,0.024000000000000004,1,1
2,4,0.014999999999999999,0.021999999999999999,0.035000000000000003,1,0,0,0,0,0.024000000000000004,0,0.024000000000000004,0.024000000000000004,1,1
3,4,0.014999999999999999,0.021999999999999999,0.035000000000000003,1,0,0,0,0,0.024000000000000004,0,0.024000000000000004,0.024000000000000004,1,1
4,4,0.014999999999999999,0.021999999999999999,0.035000000000000003,1,0,0,0,0,0.024000000000000004,0,0.024000000000000004,0.024000000000000004,1,1
5,4,0.014999999999999999,0.021999999999999999,0.035000000000000003,1,0,0,0,0,0.024000000000000004,0,0.024000000000000004,0.024000000000000004,1,1
6,4,0.041305541229828407,0.0472206494866814,0.058205850535122922,0.8450154652647307,3.9012898738646041e-07,3.906881764246495e-07,3.9225254180871496e-07,2.0225825230776405e-06,0.048910680417210799,3.9088435120669057e-07,0.048329236981429845,0.048326921798642265,0.84509581811728662,0.84508124964508957
7,4,0.15873765466026529,0.16146589325683849,0.16653262207904468,0.3897483709389612,1.6452131375070787e-06,1.6465098488719067e-06,1.6506825303877089e-06,6.7865510262702141e-06,0.16224538999871599,1.6470024957517609e-06,0.16141785883357837,0.16141197001729901,0.39043642534656697,0.39044896433176646
8,4,0.22805234777677497,0.23067723625311004,0.2355520291377326,0.37498406804788498,2.0849192894948071e-06,2.0866159920427634e-06,2.0915084993693977e-06,6.6980319577154259e-06,0.23142720438920553,2.0872213287745595e-06,0.2310793109845769,0.23107898186629383,0.37827161310655177,0.37826725526364641
