set,tau,albedo,g,cosine,samples,single_hdr,approx_hdr,mc_hdr,mc_standard_error,single_abs_error,approx_abs_error,approx_error_over_mc_se,approx_quadrature_delta,seed_spread,elapsed_ms,mc_minus_model_midpoint_over_se,comparison_at_6se,seed17_mean,seed17_se,seed42_mean,seed42_se,seed4294967313_mean,seed4294967313_se,seed99991_mean,seed99991_se
predeclared,0.2,0.2,0.7,-1,262144,0.0125532979448,0.0125635521737,0.0125615802341,1.13796766671e-05,8.28228926479e-06,1.97193954336e-06,0.173286078424,4.98084212763e-13,4.80612996078e-05,173.032254,0.277264016635,unresolved,0.0125592098346,2.27293015497e-05,0.0125429667759,2.28179666503e-05,0.0125910280755,2.26494650628e-05,0.0125531162504,2.28402638409e-05
predeclared,0.2,0.2,0.7,1,262144,0.0615073121636,0.0615953092393,0.0617198113285,0.000218659863008,0.000212499164903,0.000124502089133,0.569387026134,5.87337539715e-11,0.000911388340655,173.414501,0.770606112619,unresolved,0.0615296840172,0.000436571876425,0.061377412849,0.000436302789621,0.061683347258,0.000437010048442,0.0622888011896,0.000439389024662
predeclared,0.2,0.8,0.7,-1,262144,0.0133703078909,0.0136069826799,0.0135735664299,1.68963367139e-05,0.000203258539011,3.34162500181e-05,1.97772159634,6.73688188568e-12,6.59048418542e-05,176.31494,5.02600924296,unresolved,0.0135379486805,3.07328007618e-05,0.0135558074708,3.40744991531e-05,0.0136038535223,3.36420967049e-05,0.0135966560459,3.64748937756e-05
predeclared,0.2,0.8,0.7,1,262144,0.209186364766,0.210817794984,0.213955139683,0.000893763283416,0.00476877491751,0.0031373446991,3.51026357573,2.34405550525e-10,0.00369728281417,172.992195,4.42293824512,unresolved,0.213195459421,0.00178461050615,0.212638581024,0.001783717566,0.21365065445,0.00178653956062,0.216335863838,0.00179522182656
predeclared,0.2,0.98,0.7,-1,262144,0.0136154108747,0.0140032578001,0.0139288334984,2.18292432189e-05,0.000313422623683,7.44243016881e-05,3.40938533424,1.25423612468e-11,9.13249902889e-05,175.760376,5.47426952915,unresolved,0.0138758084308,3.81122635793e-05,0.0139140726425,4.50982371629e-05,0.013958319499,4.29526617646e-05,0.0139671334211,4.78845731476e-05
predeclared,0.2,0.98,0.7,1,262144,0.253490080546,0.256038852157,0.260808270948,0.00110406508445,0.00731819040166,0.00476941879138,4.31987104615,2.86543899719e-10,0.00454756427607,176.502233,5.47413796672,unresolved,0.25986921187,0.00220441302256,0.259206587964,0.00220373138855,0.260403131718,0.00220686425682,0.26375415224,0.00221749236549
predeclared,5,0.2,0.7,-1,262144,0.000927095420222,0.00111192317241,0.00120576675259,4.17327349994e-06,0.00027867133237,9.38435801771e-05,22.4868032681,1.2143117603e-09,1.3973722023e-05,1045.532517,44.6310207745,improved,0.00119701899706,8.02209620467e-06,0.00121099271908,8.32711766886e-06,0.00120474045396,8.1334099869e-06,0.00121031484027,8.87769035405e-06
predeclared,5,0.2,0.7,1,262144,0.0102290795996,0.011029727661,0.0120661642441,0.000107946989551,0.00183708464449,0.00103643658313,9.60134773041,7.96875395531e-09,0.000429200933935,1304.003244,13.3098720009,improved,0.0118384483888,0.000213319032074,0.0119719173927,0.000215004810809,0.0122676493227,0.000217802951086,0.0121866418722,0.000217418957735
predeclared,5,0.8,0.7,-1,262144,0.00340517406593,0.00797851005084,0.0184346423436,0.000138021674904,0.0150294682777,0.0104561322928,75.7571758206,7.34003344216e-09,0.000525687537325,1366.913023,92.3246315774,improved,0.018144681386,0.000267152228607,0.0186703689234,0.00028031598893,0.0184799365465,0.000275778534293,0.0184435825186,0.000280713166535
predeclared,5,0.8,0.7,1,262144,0.0406131107835,0.0580893987025,0.105994536531,0.000575383761856,0.0653814257476,0.0479051378287,83.2577159879,3.83749973257e-08,0.0014468470858,1564.418971,98.4443523492,improved,0.105880530015,0.00114972244134,0.105254821414,0.0011470822364,0.1067016685,0.00115224006742,0.106141126195,0.00115403256787
predeclared,5,0.98,0.7,-1,262144,0.00414859765964,0.0117390017204,0.04550200002,0.000304443567809,0.0413534023603,0.0337629982995,110.900678712,1.5127059232e-08,0.00187706458636,1848.836602,123.366706678,improved,0.0445730385031,0.000593697949656,0.0464501030894,0.000611613099876,0.0453563217968,0.000600715313638,0.0456285366905,0.000628933197791
predeclared,5,0.98,0.7,1,262144,0.0497283201387,0.0780542238938,0.193984519422,0.00086509689606,0.144256199283,0.115930295528,134.008451604,4.99092289996e-08,0.00218897345646,2083.338032,150.379972461,improved,0.194860336187,0.00174238355166,0.19267136273,0.00172220093684,0.194286738145,0.0017253942184,0.194119640627,0.00173075644272
held_out,0.35,0.35,0.3,-1,262144,0.0134741127134,0.0136245809253,0.0136887763046,1.72308951809e-05,0.00021466359117,6.41953793098e-05,3.72559745944,1.96352552273e-11,7.04310719788e-05,211.121493,8.0918306203,improved,0.0136669980972,3.43463213147e-05,0.0136688094758,3.45041562651e-05,0.0136818684761,3.44167740501e-05,0.0137374291691,3.45795207239e-05
held_out,0.35,0.35,0.3,1,262144,0.0287954426785,0.0291803260541,0.0291425016605,6.48978795184e-05,0.000347058982053,3.78243935984e-05,0.582829421841,6.70721048146e-11,0.00030758726647,212.763958,2.38247066583,unresolved,0.0289948636226,0.00012952414326,0.029191248638,0.000129842359032,0.0290814434925,0.000129651683895,0.0293024508891,0.000130163782619
held_out,0.35,0.9,0.3,-1,262144,0.0180372134339,0.019324784468,0.0197194938484,3.95238041254e-05,0.00168228041451,0.000394709380462,9.98662424318,2.0034880005e-11,0.000173283123243,209.266527,26.2751756939,improved,0.019640474244,7.85779188187e-05,0.0197333891125,7.92023431294e-05,0.0196903546699,7.90066732979e-05,0.0198137573673,7.94013969909e-05
held_out,0.35,0.9,0.3,1,262144,0.0574349190585,0.0604907818233,0.0603366462039,0.000172446134235,0.00290172714538,0.000154135619423,0.893818931386,1.70651826004e-10,0.000767586295617,208.78399,7.9665210767,improved,0.0599918062221,0.000344541288065,0.0604770883167,0.000345100397931,0.0601182977589,0.000343899031818,0.0607593925177,0.000346024644654
held_out,0.35,0.995,0.3,-1,262144,0.0188253853766,0.0204609038121,0.0209125405529,4.55169938585e-05,0.00208715517637,0.000451636740807,9.92237629337,3.85399698266e-11,0.00019610222699,212.786592,27.8883962007,improved,0.020819585009,9.04793044595e-05,0.020932534831,9.11259941262e-05,0.0208823551356,9.10981793522e-05,0.021015687236,9.14302095727e-05
held_out,0.35,0.995,0.3,1,262144,0.0623817377059,0.0662246389482,0.0659903238239,0.000192654319898,0.00360858611794,0.000234315124357,1.21624640694,1.87772519755e-10,0.000852392148737,209.87175,8.75731983424,improved,0.0656131491338,0.000384946199123,0.0661422564285,0.000385540475792,0.0657403484507,0.000384100850882,0.0664655412825,0.000386642427817
held_out,7,0.35,0.3,-1,262144,0.00578186293862,0.00685985494939,0.00920567698167,1.68851105219e-05,0.00342381404306,0.00234582203229,138.92843812,1.81236656681e-08,2.6760876099e-05,1048.290088,170.849816703,improved,0.00918743199889,3.37241205909e-05,0.00921189448094,3.37326528908e-05,0.00920918857187,3.38076989767e-05,0.00921419287499,3.38169760327e-05
held_out,7,0.35,0.3,1,262144,0.00048535242707,0.00116980250703,0.000748087755318,1.27810248349e-05,0.000262735328248,0.000421714751714,32.9953784741,1.32482389013e-09,9.5145916847e-06,1464.332201,-6.21935351508,worse,0.000746450387893,2.53754384974e-05,0.000743808029714,2.53931010651e-05,0.000753322621398,2.56158272366e-05,0.000748769982267,2.58613540548e-05
held_out,7,0.9,0.3,-1,262144,0.0148461531958,0.0244956179657,0.06887699412,0.000166830722556,0.0540308409242,0.0443813761543,266.026397742,3.68318858746e-09,0.000425955226132,1538.222233,294.946325145,improved,0.0690848229165,0.000334241241233,0.0689876946478,0.000332524914134,0.0687765912253,0.000333613905475,0.0686588676904,0.000334267776615
held_out,7,0.9,0.3,1,262144,0.00122655473756,0.00828524760459,0.00751400872671,7.5126157878e-05,0.00628745398915,0.000771238877871,10.2659166881,7.57053568966e-09,0.000330442011442,2081.059352,36.7130122656,improved,0.00767006968691,0.00015420761185,0.00756053501363,0.000148536257672,0.00733962767547,0.000147113196314,0.00748580253085,0.000151055904467
held_out,7,0.995,0.3,-1,262144,0.0164118033312,0.0287382205943,0.101015472938,0.000257942189748,0.0846036696065,0.0722772523434,280.207175158,6.04607160171e-09,0.00112090549322,1847.232198,304.100934599,improved,0.101515701973,0.000516573172727,0.101200001587,0.00051733266447,0.10095139171,0.000517113830454,0.10039479648,0.000512504667263
held_out,7,0.995,0.3,1,262144,0.00135458059119,0.0105168354203,0.0133829648047,0.000125047055901,0.0120283842135,0.00286612938442,22.9204067522,9.38288726923e-09,0.000422471758846,2500.415924,59.5556348394,improved,0.0135837950827,0.000253383808046,0.013482475608,0.000247699310086,0.0131613233239,0.000247315461433,0.0133042652043,0.00025192513123
