samples_per_pixel,seed,mean_radiance,mean_pixel_estimator_variance,complete_paths,partial_paths,collision_events,tracking_events
64,99991,0.0784337,0.000874142,9216,0,685,6364
128,99991,0.0781031,0.000447637,18432,0,1365,12711
192,99991,0.078104,0.00031206,27648,0,2047,19073
256,99991,0.0775706,0.00023136,36864,0,2712,25390
