samples_per_pixel,seed,mean_radiance,mean_pixel_estimator_variance,complete_paths,partial_paths,collision_events,tracking_events
64,4294967313,0.0724289,0.000880244,9216,0,638,6439
128,4294967313,0.072094,0.000453819,18432,0,1279,12691
192,4294967313,0.07273,0.000297197,27648,0,1942,19182
256,4294967313,0.0739298,0.000222408,36864,0,2640,25756
