samples_per_pixel,seed,mean_radiance,mean_pixel_estimator_variance,complete_paths,partial_paths,collision_events,tracking_events
32,42,0.0865527,0.00266793,18432,0,1385,12779
64,42,0.0858335,0.00131621,36864,0,2747,25353
