fixture,seed,samples_per_seed,channel,image_bias,image_rmse,expected_mc_rmse,image_mean_standard_error,quadrature_rmse,quadrature_mean_absolute,maximum_absolute
fusion,17,1024,RGB_average,0.00067228089350488567,0.0044273505834032407,0.0049408353694184899,0.00041173628078487414,3.8232011288530265e-06,1.0481456144663489e-06,0.035144107155656079
fusion,17,1024,T,-0.00047277732105481914,0.0051751337998651639,0.0044888710470719316,0.0003740725872559943,2.4942482621690146e-06,7.7778333782519168e-07,0.028767172310818268
fusion,17,8192,RGB_average,-2.1891615690799692e-05,0.0014536625356723881,0.0017473686449453183,0.00014561405374544317,3.8232011288530265e-06,1.0481456144663489e-06,0.010277535556643569
fusion,17,8192,T,-0.00029434620016113893,0.001530341658187615,0.0015917299443215897,0.00013264416202679914,2.4942482621690146e-06,7.7778333782519168e-07,0.0082382039895407266
fusion,42,1024,RGB_average,-0.00016379676955386908,0.0042864129240369605,0.0049368272189768908,0.00041140226824807425,3.8232011288530265e-06,1.0481456144663489e-06,0.025167001970742953
fusion,42,1024,T,-0.00046423827601116212,0.0038720117793664033,0.0045136778951834393,0.00037613982459861991,2.4942482621690146e-06,7.7778333782519168e-07,0.028626621215899928
fusion,42,8192,RGB_average,-9.9625298945439837e-05,0.0018733983109777313,0.001746660024217643,0.00014555500201813692,3.8232011288530265e-06,1.0481456144663489e-06,0.012610034694561678
fusion,42,8192,T,-0.00017766554791394113,0.0017337662329496017,0.0015933004117715669,0.00013277503431429724,2.4942482621690146e-06,7.7778333782519168e-07,0.01580522382702404
fusion,99991,1024,RGB_average,1.9086618804589285e-05,0.0046791946927454342,0.004943258176314671,0.00041193818135955594,3.8232011288530265e-06,1.0481456144663489e-06,0.034672404457467221
fusion,99991,1024,T,-0.00049136463112471065,0.0031946452283257948,0.004499419034358714,0.0003749515861965595,2.4942482621690146e-06,7.7778333782519168e-07,0.019841750380174106
fusion,99991,8192,RGB_average,3.1461661313597669e-05,0.0012779233442462967,0.0017475830651340065,0.00014563192209450052,3.8232011288530265e-06,1.0481456144663489e-06,0.010405858512794797
